"Rank","Model","Filtered Score","average_language","neural_language","Pereira2018-linear","Pereira2018.243sentences-linear","Pereira2018.384sentences-linear","behavior_language","Futrell2018-pearsonr","engineering_language","SyntaxGym","syntaxgym-center_embed_mod","syntaxgym-cleft_modifier","syntaxgym-fgd_hierarchy","syntaxgym-fgd_object","syntaxgym-fgd_pp","syntaxgym-fgd_subject","syntaxgym-mvrr_mod","syntaxgym-npi_orc_any","syntaxgym-npi_orc_ever","syntaxgym-npi_src_any","syntaxgym-npi_src_ever","syntaxgym-npz_ambig_mod","syntaxgym-npz_obj_mod","syntaxgym-number_orc","syntaxgym-number_prep","syntaxgym-number_src","syntaxgym-reflexive_orc_fem","syntaxgym-reflexive_orc_masc","syntaxgym-reflexive_prep_fem","syntaxgym-reflexive_prep_masc","syntaxgym-reflexive_src_fem","syntaxgym-reflexive_src_masc","syntaxgym-subordination_orc-orc","syntaxgym-subordination_pp-pp","syntaxgym-subordination_src-src"
"1","gpt-neo-1.3B",,".662","1.0","1.0","1.0","1.0",".324",".324",".800",".800",".893","1.0",".000",".958",".792",".542",".714",".974","1.0",".974","1.0","1.0","1.0",".737",".789",".737",".263",".947",".368",".789",".263",".632","1.0","1.0","1.0"
"2","gpt-neo-2.7B",,".649",".990",".990",".980","1.0",".308",".308",".847",".847",".893","1.0",".000",".917",".833",".458",".786","1.0","1.0",".974","1.0","1.0","1.0",".789",".895",".842",".632","1.0",".474",".842",".579",".842","1.0","1.0","1.0"
"2","gpt2-xl",,".652",".987",".987",".973","1.0",".318",".318",".825",".825",".929","1.0",".000",".958",".833",".458",".893","1.0","1.0",".974",".947","1.0","1.0",".737",".789",".789",".474",".789",".579",".947",".421",".737","1.0","1.0","1.0"
"4","gpt2-large",,".639",".948",".948",".922",".974",".331",".331",".786",".786",".929","1.0",".000",".958",".958",".458",".857","1.0","1.0",".974","1.0",".875",".958",".632",".842",".789",".316",".789",".474",".737",".368",".474",".957",".957",".957"
"5","gpt2-medium",,".634",".918",".918",".908",".927",".350",".350",".796",".796",".893","1.0",".000",".958",".958",".625",".821","1.0","1.0","1.0","1.0",".792",".792",".579",".842",".789",".368",".789",".579",".737",".421",".684","1.0","1.0","1.0"
"6","gpt2",,".608",".850",".850",".871",".828",".367",".367",".762",".762",".857",".925",".000",".958",".875",".500",".750",".974","1.0",".579",".921",".875",".958",".632",".789",".789",".474",".842",".211",".789",".158",".632","1.0","1.0","1.0"
"7","distilgpt2",,".590",".818",".818",".822",".815",".361",".361",".503",".503",".929",".725",".000",".875",".875",".542",".786",".026",".026",".000",".000",".667",".875",".105",".579",".789",".000",".368",".105",".474",".158",".526",".957",".478",".565"
"7","openai-gpt",,".594",".802",".802",".804",".800",".387",".387",".523",".523",".964",".975",".000",".958",".792",".333",".857",".289",".368",".263",".421",".917",".958",".105",".421",".263",".105",".105",".474",".474",".158",".105",".478",".391",".478"
"9","gpt-neo-125m",,".571",".784",".784",".781",".788",".358",".358",".736",".736",".857",".925",".000","1.0",".917",".625",".786",".947","1.0",".737",".868",".917","1.0",".421",".579",".737",".105",".526",".421",".579",".263",".632",".826",".957",".913"
"10","lm1b",,".433",".580",".580",".593",".568",".286",".286",".408",".408",".607",,,,,,,".711",".158",".921",".500",,,".526",".737",".684",".368",".632",".632",".632",".211",".474",".870",".957",".913"
"11","randomembedding-1600",,".166",".332",".332",".244",".419",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"12","glove-840b",,".107",".213",".213",".242",".184",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"13","randomembedding-100",,".062",".125",".125",".029",".221",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"14","earley-parser-minivocab",,,,,,,,,".000",".000",".000",".000",".000",".000",".000",".000",".000",".000",".000",".000",".000",".000",".000",".000",".000",".000",".000",".000",".000",".000",".000",".000",".000",".000",".000"